Review_ID,Game_Name,Game_Url,Description,Ratings,Users,Price,Game_Category,Category_Url,Date_of_Remarks,Remarks
1,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 4, 2022","Game is enjoyable. Easy to play. My complaint is at the end of a race you kick a rag doll, if it lands on the treasure chest, that's it. The game does not advance. Freezes. Yes there are ads."
2,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 28, 2021",This game is an Ad-pocolypes. You cant even pay for an ad free version because they force you to watch to upgrade. Pro tip: keep airplane mode on and when it ask to connect just flip it on for a few seconds and shut it off again. This will skip all ads.
3,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 5, 2022",The ads in this game automatically install software when you try to close them. I don't care how many ads there are but trying to sneak software into my phone is inexcusable.
4,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 28, 2021",Yse the ads are insane but by now ya'll should know and expect these sorts will have that many ads. It's a fun app game but with the amount it ads it's defining install play for 20 minutes and Uninstall sort of fun.
5,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 5, 2022","It is exactly like the trailer. Good for situations like the DMV. Good bit of adds though, with 2 playing in between each level."
6,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 5, 2022",Just another clickbait game you can't skip ads all hype. Be prepared to be struck by heavy advertising and very little actual game play!
7,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 5, 2022",Fun game. If the guy you kick at the end of the level lands on the chest the game doesnt move on.
8,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 5, 2022",It's simply awesome to slap on the run and kicking like it's a field goal upon holy sights on four heads up on yonder my friends! Nice gameplay thank you.
9,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"December 29, 2021",Impossible to play with the amount of ads that pop up.... It's too bad because it is fun to play.... I'm going to miss you Slap & Run
10,Slap and Run,https://play.google.com/store/apps/details?id=com.stoneaxe.slapandrun,"Thrilled to announce our newest game!
Goal:
-Hit pedestrians and run away without getting caught.
Controls:
-Swipe left and right.
Hope you enjoy the game!",3.9,"12,604",Free,Arcade,https://play.google.com/store/apps/category/GAME_ARCADE,"January 4, 2022",More ads than game play and they won't let you play offline. Shame because the concept is fun too
