Review_ID,Game_Name,Ratings,Users,Game_Category,Game_Genre,Date_of_Remarks,Remarks
1,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"January 1, 2022",Zero stars if I could. This app is horrible. I get notifications every 5-10 minutes. And the coins for the tasks are way to high. Sometimes I have to do more than one game. And it's literally the same exact thing as candy crush. Deleting immediately.
2,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 22, 2021","Starts out okay and then things progress to the point where you HAVE to watch ads in order to pass a level. Annoying. Plus, you have to pay for everything you do, like ""brush hair"" and ""dry hair"" and ""style hair"". Money grab is right."
3,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 26, 2021","At first I thought this was going to be a different experience, but it isn't. My problem is when you get to the 2nd character, the amounts for makeup, services and clothes jumps astronomically. Just insane. So, you spend almost all of your time with the puzzles. There needs to be a balance."
4,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"January 2, 2022",It was fun at first but then for some reason I can't play the game anymore. I open up the game and just freezes. Now it's stuck on the intro and ask me if I either wait for close the app. And seems that none of us are getting replies of how to fix this problem so I'm uninstalling it
5,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 29, 2021","Terrible! You spend all your time viewing adds because the point level is so high for each little thing you're required to do to move forward. 700 points to make reservations at a nice restaurant... really. I thought I would like this, but no way how it is designed."
6,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"January 2, 2022",I had 5 stars when it was going fine until it stopped a week ago. This game did not respond to me. I can click on anything on the page and it does not respond. The company has not respond to my message or attempt to help fix the problem.
7,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 30, 2021","This game is really fun. The only reason that I give this game four stars is because the tasks cost too much coins. To take off previous clothes is like 500 coins. I don't like that about this game. Aside from that, the game is really fun and a great way to pass time."
8,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 22, 2021","👎👎 It was a decent little game. However, the amount of ads made it tedious and boring. I deleted this game within a week of starting it due to the amount of ads. They must get paid per ad as they don't ask for in game purchases often."
9,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 26, 2021",I understand ads. Please understand that they surpass a point of diminishing returns. Was fun at first but crossed that line shortly. As I uninstall this I won't be generating anymore revenue. Think: less is more
10,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 24, 2021","I'm at level 133. The game froze and it never worked again. If it's not fixed in a week or so, there's no reason to keep it. Update: well, I had hope the updated version would fix the problem. NOPE."
11,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 16, 2021","It's a fun game, very addicting. But the only issue I have is that everytime I watch an ad, the whole game freezes for me. And sometimes, even freezes my phone. Other than that, I would recommend the game."
12,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 25, 2021",The game was fun at first until it keeped making me spend almost all my money on the outfits and when I would run out of money I would have to play a stupid game not to mention the adds I don't recommend cus after one play I never wanted to play again
13,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"January 4, 2022",Language in the script is not something I would allow my teenagers to play. I teach my children that using proper words make a person smarter because the use their mind to think before they speak therefore there is no need for cuss words.
14,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 24, 2021","The start was okay, after going through the story and levels it got difficult. It costed at least 400, 600 for each when you barely earn enough for the puzzle. Not enjoyable, spent more time on ADs and not on the story."
15,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 30, 2021","Was cool till I had to pay to remove make up, wash face and other ish like that. Also notice makeup doesn't really show. The game part is fun but everything else needs work. No one wants to pay to wash face, come on now."
16,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"January 2, 2022",Fun but to simple and it really don't let u choose your own path except what they give you. It only gives one option to choose from at the end of characters having a conversation sometimes 2 options.
17,Love Fantasy: Match & Stories,4.8,"202,602",Top Free,Puzzle,"December 28, 2021",I love this game it is super addictive. It's not like most games that you have to put alot of money in to even get anywhere on the thing. You can watch videos and get everything you need for free. Great job guys.
18,TRIVIA STAR Quiz Games Offline,4.8,"199,602",Top Free,Trivia,"January 4, 2022","Could be fun. But as stated in 99% of the reviews the ads are not worth it. I suppose I'll get a generic response like everyone else. Like ""ads are what keeps it free..."" read your reviews and fix it and I bet you'll make a lot more money and get a lot more people who play it."
