Game_ID,Game_Name,Ratings,Users,Game_Category,Game_Genre
1,Harry Potter: Puzzles & Spells,4.8,"696,130",Top Grossing,Puzzle
2,Toon Blast,4.7,"3,437,450",Top Grossing,Puzzle
3,POP! SlotsÉ?õ Vegas Casino Games,4.7,"382,295",Top Grossing,Casino
4,Solitaire Grand Harvest,4.7,"1,085,264",Top Grossing,Card
5,Hero Wars É?? Fantasy Battles,4.7,"1,461,313",Top Grossing,Role Playing
6,Toy Blast,4.7,"3,036,852",Top Grossing,Puzzle
7,Rise of Empires: Ice and Fire,4.7,"1,384,939",Top Grossing,Strategy
8,Candy Crush Saga,4.6,"32,907,225",Top Grossing,Casual
9,Clash of Clans,4.6,"57,398,787",Top Grossing,Strategy
10,Bingo BlitzÉ?õã?è - Bingo Games,4.6,"901,899",Top Grossing,Board
11,Candy Crush Soda Saga,4.6,"8,314,104",Top Grossing,Casual
12,Jackpot Party Casino Slots,4.6,"976,663",Top Grossing,Casino
13,Royal Match,4.6,"551,649",Top Grossing,Puzzle
14,Cash FrenzyÉ?õ - Casino Slots,4.6,"892,744",Top Grossing,Casino
15,Lotsa Slots - Casino Games,4.6,"378,718",Top Grossing,Casino
16,LilyÉ??s Garden,4.6,"1,229,770",Top Grossing,Puzzle
17,Best Fiends - Match 3 Puzzles,4.6,"2,168,998",Top Grossing,Casual
18,Jackpot WorldÉ?õ - Slots Casino,4.6,"371,369",Top Grossing,Casino
19,Quick Hit Casino Slot Games,4.6,"327,065",Top Grossing,Casino
20,Wizard of Oz Slot Machine Game,4.6,"496,745",Top Grossing,Casino
21,Gold Fish Casino Slot Games,4.6,"566,973",Top Grossing,Casino
22,Azur Lane,4.6,"135,319",Top Grossing,Action
23,Klondike Adventures,4.6,"990,789",Top Grossing,Simulation
24,Bingo Bash: Social Bingo Games,4.6,"674,322",Top Grossing,Board
25,Coin Master,4.5,"6,516,241",Top Grossing,Casual
26,DRAGON BALL Z DOKKAN BATTLE,4.5,"1,146,928",Top Grossing,Action
27,RAID: Shadow Legends,4.5,"1,585,908",Top Grossing,Role Playing
28,DRAGON BALL LEGENDS,4.5,"1,331,144",Top Grossing,Action
29,State of Survival: The Joker Collaboration,4.5,"1,977,561",Top Grossing,Strategy
30,SlotomaniaÉ?õ Casino Slots Games,4.5,"1,941,391",Top Grossing,Casino
31,Cashman Casino Las Vegas Slots,4.5,"428,816",Top Grossing,Casino
32,Merge Dragons!,4.5,"1,217,802",Top Grossing,Puzzle
33,Solitaire TriPeaks Card Games,4.5,"703,460",Top Grossing,Card
34,Fire Emblem Heroes,4.5,"574,168",Top Grossing,Simulation
35,Family IslandÉ?õ É?? Farming game,4.5,,Top Grossing,Casual
36,Epic Seven,4.5,"381,941",Top Grossing,Role Playing
37,House of FunÉ?õ - Casino Slots,4.5,"1,505,428",Top Grossing,Casino
38,AFK Arena,4.5,"3,325,219",Top Grossing,Role Playing
39,8 Ball Pool,4.5,"22,967,740",Top Grossing,Sports
40,Board Kings: Board Games Blast,4.5,"698,834",Top Grossing,Casual
41,Big Fish Casino - Social Slots,4.5,"402,483",Top Grossing,Casino
42,Match Masters,4.5,"832,030",Top Grossing,Casual
43,Hay Day,4.5,"12,528,276",Top Grossing,Casual
44,Roblox,4.4,"26,360,400",Top Grossing,Adventure
45,Homescapes,4.4,"10,860,727",Top Grossing,Casual
46,Gardenscapes,4.4,"11,076,751",Top Grossing,Casual
47,Fishdom,4.4,"5,185,264",Top Grossing,Puzzle
48,Rise of Kingdoms: Lost Crusade,4.4,"1,863,279",Top Grossing,Strategy
49,Huuuge Casino Slots Vegas 777,4.4,"780,936",Top Grossing,Casino
50,June's Journey: Hidden Objects,4.4,"979,865",Top Grossing,Adventure
51,King of Avalon: Dominion,4.4,"1,045,053",Top Grossing,Strategy
52,DoubleU Casino Vegas Slots,4.4,"689,070",Top Grossing,Casino
53,The Grand Mafia,4.4,"131,624",Top Grossing,Strategy
54,Mafia City,4.4,"1,138,778",Top Grossing,Strategy
55,Caesars Slots: Casino game,4.4,"651,139",Top Grossing,Casino
56,Golf Rival,4.4,"401,127",Top Grossing,Sports
57,Redecor - Home Design Game,4.4,"204,660",Top Grossing,Simulation
58,Matchington Mansion,4.4,"2,102,118",Top Grossing,Puzzle
59,Cash TornadoÉ?õ Slots - Casino,4.4,"97,688",Top Grossing,Casino
60,Yu-Gi-Oh! Duel Links,4.4,"2,169,594",Top Grossing,Card
61,Billionaire Casino Slots 777,4.4,"289,190",Top Grossing,Casino
62,Hit it Rich! Casino Slots Game,4.4,"499,219",Top Grossing,Casino
63,Genshin Impact,4.3,"2,971,163",Top Grossing,Adventure
64,Pok??mon GO,4.3,"15,007,915",Top Grossing,Adventure
65,Fate/Grand Order (English),4.3,"76,725",Top Grossing,Role Playing
66,Lords Mobile: Tower Defense,4.3,"7,290,038",Top Grossing,Strategy
67,Call of Duty Mobile Season 11,4.3,"14,501,699",Top Grossing,Action
