Review_ID,Game_Names,Ratings,Price,Game_Category,Date_of_Remarks,Remarks
1,Minecraft,4.6,$7.49 Buy,Arcade,"December 24, 2021",Good Game
2,Minecraft,4.6,$7.49 Buy,Arcade,"December 8, 2021","Good. A bit laggy at times. Overall decent. Not the best to start on though. I would suggest console or PC first. Drains battery fast, and also takes a large amount of data if you play for a while. So I would definitely buy it if you want to, but don't start your minecraft career with it."
3,Minecraft,4.6,$7.49 Buy,Arcade,"December 21, 2021","As minecraft grows older the memories I associate it with slowly fade out of relevancy. Although they will still hold a place in my heart, for being one of my first gaming experiences, for being the place I found my first friends, and for staying true to its original purpose. Fun."
4,Minecraft,4.6,$7.49 Buy,Arcade,"December 19, 2021","I've always wanted to play minecraft, but all I had was an Xbox 360, and some probably know how old that minecraft version is. NO cats, horses, or multicolor beds! For the long run, I got the whole minecraft experience, I do despise the once in a while shake of the camera when I move it though."
5,Minecraft,4.6,$7.49 Buy,Arcade,"December 8, 2021","I have been playing for almost 9.5 years, I love the game, but it took 10 years apparently to patch a bug. You used to be able to not get hit through blocks, now you can! If you do not put full walls and there is a 1 pixel gap in the opposite corner you will in fact get hit and possibly die."
6,Minecraft,4.6,$7.49 Buy,Arcade,"December 5, 2021",This is so cool and the graphics (for being cubes)are great. And there is plenty of lore like herobrine. But I wish you could see old versions on the app itself. It takes some money but it's worth it.
7,Minecraft,4.6,$7.49 Buy,Arcade,"December 22, 2021","I love this game. The possibilities are endless! You can build whatever you set your mind too. This blocky world is awesome! From fighting off the hostile mobs, mining in the deepest depths of the Earth, to building huge creations! I reccomend you get this app. You won't regret it."
8,Minecraft,4.6,$7.49 Buy,Arcade,"December 14, 2021",I love the game. Ive had it for a few years now but idk why now but a day ago my co tries for moving and jumping have disappeared of the screen and its annoying. If anyone has had this happen to them and knows how to fix it please let me know. Besides that never had a issue and love the game.
9,Minecraft,4.6,$7.49 Buy,Arcade,"December 4, 2021",I love Minecraft and play it often! The only issue I have is sometimes when I hit the jump button it doesn't work but that's really my only issue Otherwise I've had no issues and I love the new update! I definitely suggest minecraft to anyone who finds themselves bored often.
10,Minecraft,4.6,$7.49 Buy,Arcade,"December 2, 2021",The best online and offline game on the planet + they are constantly adding really great updates so you can have a better experience in the game. From new blocks to new mobs it is the best game in the universe. I really recommend it for people that want to have new experiences.
11,Minecraft,4.6,$7.49 Buy,Arcade,"December 23, 2021","I love this game, I always have. However the new caves and cliffs update has deleted all the mods I paid for. Along with my worlds. I've done everything the website said to get them back but it isn't work :( someone please tell me how to fix this. I would like my mods and worlds back"
12,Minecraft,4.6,$7.49 Buy,Arcade,"December 23, 2021","I love building on this game and exploring and finding new things that I haven't seen yet (Don't play very much). Whenever I go to download random stuff, I have to update it even if I already did yesterday. But I love it, it cures my boredom when I got nothing to do."
13,Minecraft,4.6,$7.49 Buy,Arcade,"December 7, 2021","Version 1.17 was amazing,But, I am making YouTube videos, And really need a camera toggle button, Please add one. However, Version 1.18 is a little more glitchy... Like, When I use boats, And get out, THEY DISSAPEARED! (Please fix that, Mojang.)"
14,Minecraft,4.6,$7.49 Buy,Arcade,"December 23, 2021","It's super creative, and it's fun because you can join a friend's world. But... there are a lot of things that should be added; umbrellas, hedgehogs(ofc), pink fairy armadillos, other kinds of dogs, and actual moving cars."
15,Minecraft,4.6,$7.49 Buy,Arcade,"December 1, 2021",Best btd game in a while would recommend the time and money spent to get the game. But don't buy anything after the purchase of the main game. Totally fun and doesn't take long to get advanced setups and have fun with the game. You can even create your own custom maps. Again totally recommend.
16,Minecraft,4.6,$7.49 Buy,Arcade,"December 8, 2021","Great game. Would definitely recommend you can always expect new content and any play style can have a fun time, people looking for a long playtime or something to just play in the background, casual or hardcore. If you're debating whether to buy the game it is completely worth it :)"
17,Minecraft,4.6,$7.49 Buy,Arcade,"December 3, 2021","A lot of different things to do, upgrade, unlock and it is overall a really good game. Lot of maps and monkeys and hero's and difficulties and just you can try a different strategy every single game,also there is no ads. It is just so fun to play"
18,Minecraft,4.6,$7.49 Buy,Arcade,"December 11, 2021",Been so bogged down with the pay to play and ALL THE ADS. there are very few if any ads here and while there is still an aspect of pay for more features; it seems more fair. Other games you can easily spend over 100 dollars and your STILL scrambling to get anywhere. This game is great!
