"TopPaidGames_name","TopPaidGames_url","TopPaidGames_Description","TopPaidGames_Ratings","TopPaidGames_Users","TopPaidGames_Price","TopPaidGames_Category","TopPaidGames_Category_url"
"Minecraft","https://play.google.com/store/apps/details?id=com.mojang.minecraftpe","Explore infinite worlds and build everything from the simplest of homes to the grandest of castles. Play in creative mode with unlimited resources or mine deep into the world in survival mode, crafting weapons and armor to fend off dangerous mobs. Create, explore and survive alone or with friends on mobile devices or Windows 10.
EXPAND YOUR GAME:
Marketplace - Discover the latest community creations in the marketplace! Get unique maps, skins, and texture packs from your favorite creators.
Slash commands - Tweak how the game plays: you can give items away, summon mobs, change the time of day, and more.
Add-Ons - Customize your experience even further with free Add-Ons! If you're more tech-inclined, you can modify data-driven behaviors in the game to create new resource packs.
MULTIPLAYER
Realms - Play with up to 10 friends cross-platform, anytime, anywhere on Realms, your own private server that we host for you. Try a free 30-day trial in-app.
Multiplayer - Play with up to 4 friends with a free Xbox Live account online.
Servers - Join free massive multiplayer servers and play with thousands of others! Discover gigantic community-run worlds, compete in unique mini-games and socialize in lobbies full of new friends!
SUPPORT: https:///www.minecraft.net/help
LEARN MORE: https:///www.minecraft.net/","4.6","4,398,139","$7.49 Buy","Arcade","https://play.google.com/store/apps/category/GAME_ARCADE"
"Bloons TD 6","https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd6","Craft your perfect defense from a combination of awesome Monkey Towers, upgrades, Heroes, and activated abilities, then pop every last invading Bloon!
Join millions of other players who enjoy the massive and ever-expanding features that deliver endless hours of the best strategy gaming available.
HUGE CONTENT UPDATES
* 4-Player co-op! Play every map and mode with up to 3 other players in public or private games.
* Boss Events! Fearsome Boss Bloons will challenge even the strongest defenses.
* Odysseys! Battle through a series of 3 to 5 maps connected by their theme, rules, and rewards!
* Trophy Store! Earn Trophies to unlock dozens of cosmetic items that let you customize your monkeys, Bloons, animations, music, and much more!
* Content Browser! Create your own Challenges and Odysseys, then share them with other players and play the most liked community content!
EPIC MONKEY TOWERS & HEROES
* 22 powerful Monkey Towers, each with 3 upgrade paths and unique activated abilities
* Paragons! Explore the incredible power of the new Paragon upgrades, especially against Boss Bloons!
* 13 diverse Heroes with 20 signature upgrades and 2 special abilities, plus unlockable skins and voiceovers
ENDLESS AWESOMENESS
* Play anywhere - single player offline works even when your wifi doesn't!
* 56 handcrafted maps make every game a different tactical challenge
* Monkey Knowledge! Over 100 meta-upgrades add power where you need it to tackle difficult maps and higher freeplay rounds
* Powers and Insta Monkeys! Earned through gameplay, events, and achievements, these are fun to collect and boost your popping power when you need it!
And there's heaps more! We pack as much content and polish into each update as possible, and we'll continue to add new features, content, and challenges in regular updates. We truly respect your time and support, and we hope Bloons TD 6 will be the best strategy game you've ever played. If it's not, please contact us at https://support.ninjakiwi.com and tell us what we can do better!
Now those Bloons aren't going to pop themselves... sharpen your darts and go play Bloons TD 6!
**********
Ninja Kiwi Notes:
Please review our Terms of Service and Privacy Policy. You will be prompted in-game to accept these terms in order to cloud save and protect your game progress:
https://ninjakiwi.com/terms
https://ninjakiwi.com/privacy_policy
Bloons TD 6 contains in-game items that can be purchased with real money. You can disable in-app purchases in your device's settings, or reach us at https://support.ninjakiwi.com for help. Your purchases fund our development updates and new games, and we sincerely appreciate every vote of confidence you give us with your purchases.
Ninja Kiwi Community:
We love hearing from our players, so please get in touch with any feedback, positive or negative, at https://support.ninjakiwi.com.
Streamers and Video Creators:
Ninja Kiwi is actively promoting channel creators on YouTube and Twitch! If you are not already working with us, keep making videos and tell us about your channel at streamers@ninjakiwi.com.","4.8","277,786","$4.99 $2.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"MONOPOLY - Classic Board Game","https://play.google.com/store/apps/details?id=com.marmalade.monopoly","We at Marmalade Game Studio are proud to bring this classic board game to mobile! Buy, sell and scheme your way to riches wherever you are. Play face-to-face with your friends and family with integrated multiplayer video chat! It’s the Hasbro MONOPOLY board game with no ads online and offline!
Monopoly with video chat!
MONOPOLY now includes multiplayer video chat. Create a free, private account, add your friends, start a game from your group chats and move automatically to video chat when it begins.
“Monopoly on mobile includes cross-platform online multiplayer, which means you can open up a lobby, have your friends join, and all play together in perfect harmony. Beautiful, right?” Dave Aubrey - PocketGamer
This is a fully immersive board game experience with amazing graphics and animations. The whole classic game is available with no ads, so you get the fun of the MONOPOLY board game without distractions.
POPULAR FEATURES
One of the greatest board games
Play the Hasbro classic MONOPOLY game by yourself, with family and friends or players around the world on your mobile or tablet!
Multiplayer video chat in-game
If you want to chat while you play, create an account, add friends, start games from your group chats and move automatically to video when you begin.
The video chat feature is optional and you can easily opt out.
Full, ad-free game
Play the complete classic game with no pay-to-win or ad pop-ups
Optional season pass
Seek out additional boards, including Atlantic City, Paris, La Belle Epoque, Snowdrop Valley and Cherry Blossom Tokyo with the optional MONOPOLY Season Pass!
House rules
Play with your favourite house rules!
Quick mode
Finish the board game faster than ever!
Single player
Play against our challenging AI - no need for family and friends!
Offline multiplayer
No internet? No problem! Pass a single device between up to 4 players, wifi-free!
Online multiplayer
Distance doesn’t interrupt play when you connect with fans around the world or invite friends and family to a private game!
HOW TO PLAY
Choose your player mode
Play this classic Hasbro board game in a variety of online and offline player modes. Put your skills to the test against our challenging AI opponents in single player mode. Compete with friends and family wherever you are in online multiplayer. Play WiFi-free when you pass one device around a group of players in pass&play mode.
Select your rules
If you’re one of the many who’ve never read the rules, you can still play exactly how you like! Add cash to Free Parking, or pay M400 for landing directly on GO! Stick to the classic rule book, get a fixed selection of the most popular house rules, or customise your rules to suit your own preferences!
Choose your piece
Choose from the modern and classic player pieces!
Enter the board
Experience the thrill of bankrupting your family and friends and becoming the wealthiest property mogul on the board! It’s just as you remember, plus fun animations and an AI banker who’s on everyone’s side!
Build your property empire
Take investment risks, bid for properties in auctions, make your way around the board and BUY real estate, COLLECT rent and BUILD hotels to become a property tycoon.
About Marmalade Game Studio
Marmalade Game Studio makes quality multiplayer board games. Play anywhere on your mobile! Enjoy tabletop games with your friends and family. It doesn’t matter of you’re together or apart. You can find the fun with people you know or players around the world. Our games are ad-free, family friendly fun. For quality time, look for the Marmalade Game Studio logo.","4.3","83,103","$4.99 $2.49 Buy","Board","https://play.google.com/store/apps/category/GAME_BOARD"
"Geometry Dash","https://play.google.com/store/apps/details?id=com.robtopx.geometryjump","Jump and fly your way through danger in this rhythm-based action platformer!
Prepare for a near impossible challenge in the world of Geometry Dash. Push your skills to the limit as you jump, fly and flip your way through dangerous passages and spiky obstacles.
Simple one touch game play with lots of levels that will keep you entertained for hours!
Game Features
• Rhythm-based Action Platforming!
• Lots of levels with unique soundtracks!
• Build and share your own levels using the level editor!
• Unlock new icons and colors to customize your character!
• Fly rockets, flip gravity and much more!
• Use practice mode to sharpen your skills!
• Lots of achievements and rewards!
• No in-app purchases!
• Challenge yourself with the near impossible!
Contact: support@robtopgames.com","4.6","816,849","$1.99 Buy","Arcade","https://play.google.com/store/apps/category/GAME_ARCADE"
"Stardew Valley","https://play.google.com/store/apps/details?id=com.chucklefish.stardewvalley","ConcernedApe's smash hit farming RPG comes to Mobile!
Move to the countryside, and cultivate a new life in this award-winning open-ended farming RPG! With over 50+ hours of gameplay content and new Mobile-specific features, such as auto-save and multiple controls options.
Now with brand new end-game content! Discover more heart events, new crops to grow, new pets, and so much more...
**Winner of the Golden Joysticks' Breakthrough Award**
**Nominee of Game of the Year 2017 - BAFTA Games Awards**
---
BUILD THE FARM OF YOUR DREAMS:
■ Turn your overgrown fields into a lively and bountiful farm
■ Raise and breed happy animals, grow a variety of seasonal crops and design your farm, your way
■ Customize your farmer and home! With hundreds of options to choose from
■ Settle down and start a family with 12 potential marriage candidates
■ Become part of the community by taking part in seasonal festivals and villager quests
■ Explore vast, mysterious caves, encountering dangerous monsters and valuable treasure
■ Spend a relaxing afternoon at one of the local fishing spots or go crabbing by the seaside
■ Forage, grow crops and produce artisan goods to cook up as a delicious meal
■ Rebuilt for touch-screen gameplay on Android with mobile-specific features, such as auto-select to toggle quickly between your farming tools and auto-attack to swiftly take down fiendish monsters in the mines
■ Newly Updated Single Player Content - Including new town upgrades, dating events, crops, fishing ponds, hats, clothing, and new pets! Plus more to be discovered...
■ Play the game your way with multiple controls options, such as touch-screen, virtual joystick, and external controller support.
---
“The best version of Stardew Valley is the one you have with you … This game is absolutely incredible, and will not disappoint.” - TouchArcade
""Stardew Valley beautifully combines farm simulation with RPG elements to create an intriguing, absorbing rural world."" - IGN
“Far more than just a farming game... filled with seemingly endless content and heart.” Giant Bomb
""Village life has never been so accessible and satisfying"" - The Telegraph
“Stardew Valley has been the most rich and heartwarming experience I’ve had in a game in years.” CG Magazine
---
Note: Features new 1.4 update story content, multiplayer functionality not supported. No in-app purchases.","4.7","109,516","$4.99 Buy","Role Playing","https://play.google.com/store/apps/category/GAME_ROLE_PLAYING"
"Bad North: Jotunn Edition","https://play.google.com/store/apps/details?id=com.PlausibleConcept.BadNorthFull","Your home is under attack. The king is dead at the hands of Viking invaders. Hope is a distant glimmer in the fog, fading fast with every passing moment. As you rise to take your father’s place as ruler, it will fall to you to stage your defences. But make no mistake – this is no fight for victory, but a desperate grasp for survival.
Bad North is a charming but brutal real-time tactics roguelite. Defend your idyllic island kingdom against a horde of Viking invaders, as you lead the desperate exodus of your people. Command your loyal subjects to take full tactical advantage of the unique shape of each island. Everything is at stake: fail, and watch the blood of your subjects stain the ground red.
It’s charmingly brutal, with beautiful procedurally-generated islands and adorable soldiers juxtaposed against the blood-stained realities of war. You control the broad strokes of the battle, giving high level commands to your soldiers who try their best to carry them out in the heat of the moment. It’s accessibly deep, with simple player inputs masking a dynamic combat simulation that make it inviting to new players while challenging veterans.
Keep fighting, warriors. Not for power or riches or glory, but for hope of peace to come once again in the harsh lands of the Bad North.
Key Features
REAL-TIME TACTICS ROGUELITE: Position and relocate your troops to fend off the Vikings, who each have their own counters to the threats you pose. Pick your battles and plan your evacuations carefully! Lose a commander and they’re gone forever; lose everything, and it’s game over!
INTELLIGENT UNIT CONTROLS: You command the broad strokes of your defences and monitor positioning — your soldiers do the rest, navigating and engaging intuitively in response to the situation at hand.
PROCEDURALLY-GENERATED ISLANDS: Each island is both stylistically charming and unique in its layout. Plan your strategies around every nook and cranny, for you only get one chance to save them from the enemy invasion.
UNLOCKABLE UPGRADES: A stronger, smarter defence leads to greater rewards. Use these to develop your subjects from a ragtag militia into seasoned warriors.","4.4","6,016","$3.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
"Five Nights at Freddy's","https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys","NOTE: Remastered version from the PC version. A device with at least 2 GB of RAM is required for this game to run properly.
Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food as far as the eye can see! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds! The robots' behavior has become somewhat unpredictable at night however, and it was much cheaper to hire you as a security guard than to find a repairman.
From your small office you must watch the security cameras carefully. You have a very limited amount of electricity that you're allowed to use per night (corporate budget cuts, you know). That means when you run out of power for the night- no more security doors and no more lights! If something isn't right- namely if Freddybear or his friends aren't in their proper places, you must find them on the monitors and protect yourself if needed!
Can you survive five nights at Freddy's?
""For all the simplicity of the game’s controls and premise, Five Nights at Freddy‘s is frightening. It’s a fantastic example of how cleverness in design and subtlety can be used to make an experience terrifying. Simple still images and proper character design steal the show in this game, and show that Scott Cawthon knows quite a lot about the secret fears people feel when looking at creepy dolls and toys. It’s elegant in how it sows fear, and is a must-own for anyone who likes scary games."" -Joel Couture IndieGameMag.com
NOTE: Game entirely in English.
#MadeWithFusion","4.7","131,354","$2.99 Buy","Action","https://play.google.com/store/apps/category/GAME_ACTION"
"Terraria","https://play.google.com/store/apps/details?id=com.and.games505.TerrariaPaid","DIG! FIGHT! EXPLORE! BUILD! Join the community of millions of Terrarians!
TERRARIA MOBILE REBUILT FROM THE GROUND UP – NEW AND IMPROVED AND NOW INCLUDING ALL OF THE CONTENT FROM THE EPIC JOURNEY’S END 1.4 UPDATE!
""This is the full version of Terraria, built from the ground up... If you loved it on PC or consoles, you’ll love it here.” - Slide To Play
The very world is at your fingertips as you fight for survival, fortune, and glory. Delve deep into cavernous expanses, seek out ever-greater foes to test your mettle in combat, or construct your own city - In the World of Terraria, the choice is yours!
We recommend at least 2GB of RAM and a device from 2014 or newer. We support devices running Android 4.3 with 1GB of RAM and compatible graphics, but these devices may experience reduced performance.
• MULTIPLAYER – Play with up to 7 friends on Local Wifi or Online via device-device Wifi hosted games or through the Mobile Terraria Dedicated Server for PC (available for free on Terraria.org)
• TERRARIA REIMAGINED FOR MOBILE – Fully customizable controls and User Interface provide a level of polish and capability not previously possible!
• Gamepad support – including fully-remappable buttons - Play with your Bluetooth connected gamepad where supported.
• Full array of World sizes – Small/Medium/Large...the same size as on Terraria for PC! Now includes random world name generator and the ability to use World Seeds (including some hidden easter egg worlds)
• Over 400 enemies to combat, defeat, and plunder for loot
• Over 20 Biomes and Mini-Biomes to explore, both above and underground – from lush forests to barren deserts to dungeons, the underworld, and even the terrifying Corruption await!
• Updated crafting with multiple added item options
• Over 20 NPCs to discover, each providing their own benefits and unique style
• In-depth building options that are easy to learn but allow for amazing feats of architecture in the hands of a master.
• And much, much more!
In short, every pixel of Terraria has been reimagined and hand crafted for the BEST possible mobile experience!
Follow us on Twitter @Terraria_Logic and @505_Games
Join our community on Discord @ http://Discord.GG/Terraria
Like us on Facebook at www.facebook.com/TerrariaOfficial and https://www.facebook.com/505Games
Visit us on the web at www.terraria.org
Join the official Terraria Forums at: https://forums.terraria.org/","4.6","340,205","$4.99 Buy","Adventure","https://play.google.com/store/apps/category/GAME_ADVENTURE"
"Bridge Constructor Portal","https://play.google.com/store/apps/details?id=com.headupgames.bridgeconstructorportal","Enter the Aperture Science Enrichment Center and experience Bridge Constructor Portal – the unique merging of the classic Portal™ and Bridge Constructor™ games.
As a new employee in the Aperture Science test lab, it's your job to build bridges, ramps, slides, and other constructions in 60 test chambers and get the Bendies safely across the finish line in their vehicles.
Make use of the many Portal gadgets, like portals, propulsion gel, repulsion gel, aerial faith plates, cubes, and more to bypass the sentry turrets, acid pools and laser barriers, solve switch puzzles, and make it through the test chambers unscathed.
Let Ellen McLain, the original voice of GLaDOS, guide you through the tutorial, and learn all the tips and tricks that make a true Aperture Science employee.
The bridge is a lie!
Features:
- The merging of two worlds: the first Bridge Constructor™ with an official Portal™ license
- Create complex constructions in the Aperture Science labs
- Let GLaDOS accompany you through tricky physics adventures
- Use portals, aerial faith plates, propulsion gel, repulsion gel, and much more to master the complicated tasks
- Evade dangers such as sentry turrets, emancipation grills, laser fields, and acid
- Help your Bendies cross the finish line – on their own or in a convoy
- Google Play Game Services Achievements
- Tablets supported
- Gamepads supported
If you encounter any issues or have any feedback, please let us know: support@headupgames.com
Enjoy Bridge Constructor Portal!
Play it on NVIDIA Shield!","4.5","15,182","$4.99 $0.99 Buy","Puzzle","https://play.google.com/store/apps/category/GAME_PUZZLE"
"Five Nights at Freddy's 2","https://play.google.com/store/apps/details?id=com.scottgames.fnaf2","NOTE: Remastered version from the PC version. A device with at least 2 GB of RAM is required for this game to run properly.
Welcome back to the new and improved Freddy Fazbear's Pizza!
In Five Nights at Freddy's 2, the old and aging animatronics are joined by a new cast of characters. They are kid-friendly, updated with the latest in facial recognition technology, tied into local criminal databases, and promise to put on a safe and entertaining show for kids and grown-ups alike!
What could go wrong?
As the new security guard working nights, your job is to monitor cameras and make sure nothing goes wrong after-hours. The previous guard has complained about the characters trying to get into the office (he has since been moved to day-shift). So to make your job easier, you've been provided with your very own empty Freddy Fazbear head, which should fool the animatronic characters into leaving you alone if they should accidentally enter your office.
As always, Fazbear Entertainment is not responsible for death or dismemberment.
NOTE: Game entirely in English.
#MadeWithFusion","4.6","95,448","$2.99 Buy","Strategy","https://play.google.com/store/apps/category/GAME_STRATEGY"
